round,config,avg_score,ts
1,ungrounded,,1785690961
1,lexical,,1785690961
1,vector,,1785690961
2,ungrounded,,1785690961
2,lexical,,1785690961
2,vector,,1785690961
3,ungrounded,,1785690961
3,lexical,,1785690961
3,vector,,1785690961
4,ungrounded,,1785690961
4,lexical,,1785690961
4,vector,,1785690961
5,ungrounded,,1785690962
5,lexical,,1785690962
5,vector,,1785690962
6,ungrounded,,1785690962
6,lexical,,1785690962
6,vector,,1785690962
7,ungrounded,,1785690962
7,lexical,,1785690962
7,vector,,1785690962
8,ungrounded,,1785690962
8,lexical,,1785690962
8,vector,,1785690962
9,ungrounded,,1785690962
9,lexical,,1785690962
9,vector,,1785690962
10,ungrounded,,1785690962
10,lexical,,1785690962
10,vector,,1785690962
11,ungrounded,,1785690962
11,lexical,,1785690962
11,vector,,1785690962
12,ungrounded,,1785690962
12,lexical,,1785690962
12,vector,,1785690962
13,ungrounded,,1785690962
13,lexical,,1785690962
13,vector,,1785690962
14,ungrounded,,1785690962
14,lexical,,1785690962
14,vector,,1785690962
15,ungrounded,,1785690962
15,lexical,,1785690962
15,vector,,1785690962
16,ungrounded,,1785690962
16,lexical,,1785690962
16,vector,,1785690962
17,ungrounded,,1785690962
17,lexical,,1785690962
17,vector,,1785690962
18,ungrounded,,1785690962
18,lexical,,1785690962
18,vector,,1785690962
19,ungrounded,,1785690962
19,lexical,,1785690962
19,vector,,1785690962
20,ungrounded,,1785690962
20,lexical,,1785690962
20,vector,,1785690962
21,ungrounded,,1785690962
21,lexical,,1785690962
21,vector,,1785690962
22,ungrounded,,1785690962
22,lexical,,1785690962
22,vector,,1785690962
23,ungrounded,,1785690962
23,lexical,,1785690962
23,vector,,1785690962
24,ungrounded,,1785690962
24,lexical,,1785690962
24,vector,,1785690962
25,ungrounded,,1785690962
25,lexical,,1785690962
25,vector,,1785690962
26,ungrounded,,1785690962
26,lexical,,1785690962
26,vector,,1785690962
27,ungrounded,,1785690962
27,lexical,,1785690962
27,vector,,1785690962
28,ungrounded,,1785690962
28,lexical,,1785690962
28,vector,,1785690962
29,ungrounded,,1785690962
29,lexical,,1785690962
29,vector,,1785690962
30,ungrounded,,1785690962
30,lexical,,1785690962
30,vector,,1785690962
31,ungrounded,,1785690962
31,lexical,,1785690962
31,vector,,1785690962
32,ungrounded,,1785690962
32,lexical,,1785690962
32,vector,,1785690962
33,ungrounded,,1785690962
33,lexical,,1785690962
33,vector,,1785690962
34,ungrounded,,1785690962
34,lexical,,1785690962
34,vector,,1785690962
35,ungrounded,,1785690962
35,lexical,,1785690962
35,vector,,1785690962
36,ungrounded,,1785690962
36,lexical,,1785690962
36,vector,,1785690962
37,ungrounded,,1785690963
37,lexical,,1785690963
37,vector,,1785690963
38,ungrounded,,1785690963
38,lexical,,1785690963
38,vector,,1785690963
39,ungrounded,,1785690963
39,lexical,,1785690963
39,vector,,1785690963
40,ungrounded,,1785690963
40,lexical,,1785690963
40,vector,,1785690963
41,ungrounded,,1785690963
41,lexical,,1785690963
41,vector,,1785690963
42,ungrounded,,1785690963
42,lexical,,1785690963
42,vector,,1785690963
43,ungrounded,,1785690963
43,lexical,,1785690963
43,vector,,1785690963
44,ungrounded,,1785690963
44,lexical,,1785690963
44,vector,,1785690963
45,ungrounded,,1785690963
45,lexical,,1785690963
45,vector,,1785690963
46,ungrounded,,1785690963
46,lexical,,1785690963
46,vector,,1785690963
47,ungrounded,,1785690963
47,lexical,,1785690963
47,vector,,1785690963
48,ungrounded,,1785690963
48,lexical,,1785690963
48,vector,,1785690963
49,ungrounded,,1785690963
49,lexical,,1785690963
49,vector,,1785690963
50,ungrounded,,1785690963
50,lexical,,1785690963
50,vector,,1785690963
51,ungrounded,,1785690963
51,lexical,,1785690963
51,vector,,1785690963
52,ungrounded,,1785690963
52,lexical,,1785690963
52,vector,,1785690963
53,ungrounded,,1785690963
53,lexical,,1785690963
53,vector,,1785690963
54,ungrounded,,1785690963
54,lexical,,1785690963
54,vector,,1785690963
55,ungrounded,,1785690963
55,lexical,,1785690963
55,vector,,1785690963
56,ungrounded,,1785690963
56,lexical,,1785690963
56,vector,,1785690963
57,ungrounded,,1785690963
57,lexical,,1785690963
57,vector,,1785690963
58,ungrounded,,1785690963
58,lexical,,1785690963
58,vector,,1785690963
59,ungrounded,,1785690963
59,lexical,,1785690963
59,vector,,1785690963
60,ungrounded,,1785690963
60,lexical,,1785690963
60,vector,,1785690963
61,ungrounded,,1785690963
61,lexical,,1785690963
61,vector,,1785690963
62,ungrounded,,1785690963
62,lexical,,1785690963
62,vector,,1785690963
63,ungrounded,,1785690963
63,lexical,,1785690963
63,vector,,1785690963
64,ungrounded,,1785690963
64,lexical,,1785690963
64,vector,,1785690963
65,ungrounded,,1785690963
65,lexical,,1785690963
65,vector,,1785690963
66,ungrounded,,1785690963
66,lexical,,1785690963
66,vector,,1785690963
67,ungrounded,,1785690963
67,lexical,,1785690963
67,vector,,1785690963
68,ungrounded,,1785690964
68,lexical,,1785690964
68,vector,,1785690964
69,ungrounded,,1785690964
69,lexical,,1785690964
69,vector,,1785690964
70,ungrounded,,1785690964
70,lexical,,1785690964
70,vector,,1785690964
71,ungrounded,,1785690964
71,lexical,,1785690964
71,vector,,1785690964
72,ungrounded,,1785690964
72,lexical,,1785690964
72,vector,,1785690964
73,ungrounded,,1785690964
73,lexical,,1785690964
73,vector,,1785690964
74,ungrounded,,1785690964
74,lexical,,1785690964
74,vector,,1785690964
75,ungrounded,,1785690964
75,lexical,,1785690964
75,vector,,1785690964
76,ungrounded,,1785690964
76,lexical,,1785690964
76,vector,,1785690964
77,ungrounded,,1785690964
77,lexical,,1785690964
77,vector,,1785690964
78,ungrounded,,1785690964
78,lexical,,1785690964
78,vector,,1785690964
79,ungrounded,,1785690964
79,lexical,,1785690964
79,vector,,1785690964
80,ungrounded,,1785690964
80,lexical,,1785690964
80,vector,,1785690964
81,ungrounded,,1785690964
81,lexical,,1785690964
81,vector,,1785690964
82,ungrounded,,1785690964
82,lexical,,1785690964
82,vector,,1785690964
83,ungrounded,,1785690964
83,lexical,,1785690964
83,vector,,1785690964
84,ungrounded,,1785690964
84,lexical,,1785690964
84,vector,,1785690964
85,ungrounded,,1785690964
85,lexical,,1785690964
85,vector,,1785690964
86,ungrounded,,1785690964
86,lexical,,1785690964
86,vector,,1785690964
87,ungrounded,,1785690964
87,lexical,,1785690964
87,vector,,1785690964
88,ungrounded,,1785690964
88,lexical,,1785690964
88,vector,,1785690964
89,ungrounded,,1785690964
89,lexical,,1785690964
89,vector,,1785690964
90,ungrounded,,1785690964
90,lexical,,1785690964
90,vector,,1785690964
91,ungrounded,,1785690964
91,lexical,,1785690964
91,vector,,1785690964
92,ungrounded,,1785690964
92,lexical,,1785690964
92,vector,,1785690964
93,ungrounded,,1785690964
93,lexical,,1785690964
93,vector,,1785690964
94,ungrounded,,1785690964
94,lexical,,1785690964
94,vector,,1785690964
95,ungrounded,,1785690964
95,lexical,,1785690964
95,vector,,1785690964
96,ungrounded,,1785690964
96,lexical,,1785690964
